train_split,test_split,seed,recall,precision,f1_score,mAP,mCS
0.7,0.15,38,0.9960258320914058,0.9955312810327706,0.9957784951576856,0.9955103611174134,0.9533296135605165
0.7,0.15,1791,0.9984939759036144,0.9945,0.9964929859719438,0.9979685397364143,0.9505595670771229
0.8,0.1,192,0.9925699300699301,0.9991201055873296,0.9958342468756852,0.9921313229764799,0.9451034555334609
0.8,0.1,5717,0.9934440559440559,0.9960560911481157,0.9947483588621444,0.9929992987215004,0.9477293737708905
0.9,0.05,391,0.9914430182808246,0.9933749025720966,0.9924080202452794,0.9910203597169482,0.9454246885327868
0.9,0.05,1111,0.9839404622013318,0.9551330798479087,0.969322786031256,0.9819775388259296,0.9339261050120458
